"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-08-30",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-08-31",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-01",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-03",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-04",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-05",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-06",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-08",,,"1.50","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-09",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-10",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-11",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-12",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-13",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-14",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-15",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-16",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-17",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-18",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-19",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-20",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-21",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-22",,,"0.10","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-23",,,"0.06","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-24",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-25",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-26",,,"0.17","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-27",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-28",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-29",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-09-30",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-01",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-03",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-04",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-05",,,"0.55","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-06",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-08",,,"0.57","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-09",,,"1.47","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-10",,,"1.10","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-11",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-12",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-13",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-14",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-15",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-16",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-17",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-18",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-19",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-20",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-21",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-22",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-23",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-24",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-25",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-26",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-27",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-28",,,"0.10","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-29",,,"0.06","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-30",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-10-31",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-01",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-03",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-04",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-05",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-06",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-08",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-09",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-10",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-11",,,"0.30","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-12",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-13",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-14",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-15",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-16",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-17",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-18",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-19",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-20",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-21",,,"0.14","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-22",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-23",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-24",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-25",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-11-26",,,"0.00","0.0",,,
